n data,t1,t2 
0,4.25e-06,4.44e-06
10,1.461e-05,1.67e-05
20,3.209e-05,5.241e-05
30,4.722e-05,0.00010098
40,6.678e-05,0.00015071
50,8.159e-05,0.00022462
60,9.612e-05,0.00031255
70,0.0001174,0.00025805
80,0.00014186,0.00034043
90,0.00016572,0.00043194
100,0.0001866,0.000522
110,0.00019824,0.00058864
120,0.00021415,0.0006605
130,0.00024347,0.00046347
140,0.00026806,0.00058379
150,0.00028121,0.00059817
160,0.00029586,0.00065745
170,0.00032691,0.00072817
180,0.00038892,0.00092525
190,0.00038962,0.00092196
200,0.00043119,0.00105972
210,0.00044556,0.00111969
220,0.00044987,0.0011993
230,0.00048203,0.00131089
240,0.00053863,0.00145309
250,0.00055394,0.00152031
260,0.00057372,0.00101474
270,0.00062578,0.00114815
280,0.00059404,0.00110975
290,0.00064836,0.00122499
300,0.0006564,0.0012925
310,0.00069384,0.00140499
320,0.00069514,0.00145001
330,0.00073295,0.00146257
340,0.00077139,0.00162223
350,0.00079099,0.00164153
360,0.00078052,0.00168625
370,0.00080317,0.00178922
380,0.00082265,0.00188501
390,0.00088021,0.00201753
400,0.00094216,0.00214278
410,0.00096467,0.0022391
420,0.00097507,0.00233164
430,0.00103955,0.0024793
440,0.00106785,0.00257612
450,0.00105876,0.00254416
460,0.00109749,0.00284094
470,0.0010969,0.00270764
480,0.00114168,0.00306916
490,0.00118338,0.00304905
500,0.00120409,0.00327676
510,0.0012974,0.00254293
520,0.0013239,0.00227519
530,0.00133434,0.00232606
540,0.00141856,0.00246254
550,0.00146181,0.00248858
560,0.00140279,0.00256463
570,0.00144752,0.00253482
580,0.00141933,0.00248608
590,0.00147544,0.0026741
600,0.00138847,0.00255044
610,0.00139785,0.002494
620,0.00151719,0.00279712
630,0.00151621,0.00284147
640,0.00155574,0.00303687
650,0.00162154,0.00306013
660,0.00165834,0.00320397
670,0.00167477,0.00323775
680,0.00180971,0.00368637
690,0.00176646,0.0033884
700,0.00193521,0.00387023
710,0.00168399,0.0033148
720,0.00175418,0.0035752
730,0.00173067,0.00350885
740,0.00176511,0.00354873
750,0.00181079,0.0037009
760,0.00200539,0.00433684
770,0.00186636,0.00391008
780,0.00207351,0.00458819
790,0.00191044,0.00403328
800,0.00193703,0.00424784
810,0.00195832,0.00415644
820,0.0019777,0.00426823
830,0.00205178,0.0043863
840,0.00206205,0.00455828
850,0.00211791,0.00464496
860,0.00213031,0.00479897
870,0.0021446,0.00483691
880,0.00214512,0.00500126
890,0.00218599,0.00493145
900,0.00220786,0.00509922
910,0.00229145,0.00526654
920,0.0022589,0.00535133
930,0.00232114,0.00540713
940,0.00234092,0.00552782
950,0.00232082,0.00551329
960,0.00235419,0.0057358
970,0.00237622,0.00577804
980,0.00243525,0.00591753
990,0.00267071,0.00668375
1000,0.00283283,0.00740257
1010,0.00311063,0.00788967
1020,0.00341149,0.00619339
1030,0.00279165,0.00451792
1040,0.00271075,0.00438404
1050,0.00268491,0.00420131
1060,0.00264413,0.00416343
1070,0.00269558,0.00431126
1080,0.00275102,0.00445384
1090,0.00275174,0.00437846
1100,0.00308345,0.00484557
1110,0.00365851,0.00610677
1120,0.00355721,0.00592316
1130,0.00292933,0.0047705
1140,0.00287962,0.00471466
1150,0.00297263,0.00487689
1160,0.00297515,0.00497975
1170,0.00297613,0.00490863
1180,0.00306697,0.00512667
1190,0.00304908,0.00501689
1200,0.00304658,0.00516096
1210,0.00314196,0.00528335
1220,0.00315807,0.00538096
1230,0.00313303,0.00532639
1240,0.00315187,0.00545647
1250,0.00329042,0.00561087
1260,0.00344866,0.00598056
1270,0.00365301,0.00640738
1280,0.00352319,0.0064725
1290,0.00352973,0.00615777
1300,0.00340289,0.00603802
1310,0.00359787,0.00637965
1320,0.00361711,0.0066066
1330,0.00359344,0.00642848
1340,0.00379834,0.00675779
1350,0.00380893,0.00690387
1360,0.00340943,0.00621519
1370,0.00361448,0.00671672
1380,0.0044528,0.00811047
1390,0.00511395,0.0099214
1400,0.00427223,0.00770455
1410,0.00381504,0.00713857
1420,0.00381924,0.00708166
1430,0.00391899,0.00733559
1440,0.003933,0.00758555
1450,0.00405812,0.00755275
1460,0.00408012,0.0078879
1470,0.00406441,0.00772662
1480,0.00404254,0.00769634
1490,0.00414186,0.00790267
1500,0.00418573,0.00818326
1510,0.0042135,0.00807246
1520,0.00436248,0.00868538
1530,0.00420285,0.00813087
1540,0.00434813,0.00851911
1550,0.00438524,0.0086073
1560,0.00448502,0.00896022
1570,0.00446217,0.00888595
1580,0.00440754,0.00869315
1590,0.00537748,0.010455
1600,0.00479061,0.0100219
1610,0.00553273,0.0111243
1620,0.00530113,0.0110496
1630,0.00446448,0.00892925
1640,0.00569765,0.0119228
1650,0.00526523,0.011018
1660,0.00572845,0.0119206
1670,0.00604731,0.0123294
1680,0.00549437,0.0119212
1690,0.00490405,0.0099991
1700,0.00463261,0.00969626
1710,0.00457379,0.00945623
1720,0.00457814,0.00952009
1730,0.00461449,0.00957884
1740,0.00466599,0.00983023
1750,0.00517081,0.0111569
1760,0.00555832,0.0126667
1770,0.00518292,0.0112625
1780,0.00523697,0.0115365
1790,0.00514259,0.0111744
1800,0.00530164,0.011493
1810,0.00508562,0.0109588
1820,0.00503658,0.0109215
1830,0.00482433,0.0104439
1840,0.00480793,0.0105292
1850,0.00480007,0.0104066
1860,0.00483546,0.0105493
1870,0.00492762,0.010785
1880,0.0053082,0.0116207
1890,0.00533505,0.0116806
1900,0.00540334,0.0119914
1910,0.00537294,0.0119816
1920,0.00559266,0.0128995
1930,0.00559118,0.0127962
1940,0.00576882,0.0134394
1950,0.0064177,0.0144027
1960,0.00701326,0.016081
1970,0.00714021,0.0160125
1980,0.00670693,0.0161239
1990,0.00654827,0.0156142
2000,0.0053881,0.012518
2010,0.00704336,0.0156235
2020,0.00653523,0.0138653
2030,0.00528747,0.0101604
2040,0.00531459,0.00888493
